title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,LLM_Decision,LLM_Exclusion_Criterion,LLM_Justification
Monitoring Behavioral Compliance with Architectural Patterns Based on&nbsp;Complex Event Processing,"Krieger, Christoph and Breitenb\""{u}cher, Uwe and Falkenthal, Michael and Leymann, Frank and Yussupov, Vladimir and Zdun, Uwe",,2020,ACM Digital Library,125–140,,"Architectural patterns assist in the process of architectural decision making as they capture architectural aspects of proven solutions. In many cases, the chosen patterns have system-wide implications on non-functional requirements such as availability, performance, and resilience. Ensuring compliance with the selected patterns is of vital importance to avoid architectural drift between the implementation and its desired architecture. Most of the patterns not only capture structural but also significant behavioral architectural aspects that need to be checked. In case all properties of the system are known before runtime, static compliance checks of application code and configuration files might be sufficient. However, in case aspects of the system dynamically evolve, e.g., due to manual reconfiguration, compliance with the architectural patterns also needs to be monitored during runtime. In this paper, we propose to link compliance rules to architectural patterns that specify behavioral aspects of the patterns based on runtime events using stream queries. These queries serve as input for a complex event processing component to automatically monitor architecture compliance of a running system. To validate the practical feasibility, we applied the approach to a set of architectural patterns in the domain of distributed systems and prototypically implemented a compliance monitor.",,10.1007/978-3-030-44769-4_10,https://doi.org/10.1007/978-3-030-44769-4_10,,,"Architecture compliance, Architectural patterns, Behavioral compliance monitoring, Complex event processing",Springer-Verlag,,,,UNCLASSIFIED,,
Replaying history on process models for conformance checking and performance analysis,"van der Aalst, Wil and Adriansyah, Arya and van Dongen, Boudewijn",Wiley Int. Rev. Data Min. and Knowl. Disc.,2012,ACM Digital Library,182–192,2,"Process mining techniques use event data to discover process models, to check the conformance of predefined process models, and to extend such models with information about bottlenecks, decisions, and resource usage. These techniques are driven by observed events rather than hand-made models. Event logs are used to learn and enrich process models. By replaying history using the model, it is possible to establish a precise relationship between events and model elements. This relationship can be used to check conformance and to analyze performance. For example, it is possible to diagnose deviations from the modeled behavior. The severity of each deviation can be quantified. Moreover, the relationship established during replay and the timestamps in the event log can be combined to show bottlenecks. These examples illustrate the importance of maintaining a proper alignment between event log and process model. Therefore, we elaborate on the realization of such alignments and their application to conformance checking and performance analysis. © 2012 Wiley Periodicals, Inc. © 2012 Wiley Periodicals, Inc.",,10.1002/widm.1045,https://doi.org/10.1002/widm.1045,,,"Association Rules, Business and Industry, Data Concepts, Spatial and Temporal Data Mining","John Wiley &amp; Sons, Inc.",,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Checking conformance of applications against GUI policies,"Zhang, Zhen and Feng, Yu and Ernst, Michael D. and Porst, Sebastian and Dillig, Isil",,2021,ACM Digital Library,95–106,,"A good graphical user interface (GUI) is crucial for an application's usability, so vendors and regulatory agencies increasingly place restrictions on how GUI elements should appear to and interact with users. Motivated by this concern, this paper presents a new technique (based on static analysis) for checking conformance between (Android) applications and GUI policies expressed in a formal specification language. In particular, this paper (1) describes a specification language for formalizing GUI policies, (2) proposes a new program abstraction called an _event-driven layout forest_, and (3) describes a static analysis for constructing this abstraction and checking it against a GUI policy. We have implemented the proposed approach in a tool called Venus, and we evaluate it on 2361 Android applications and 17 policies. Our evaluation shows that Venus can uncover malicious applications that perform ad fraud and identify violations of GUI design guidelines and GDPR laws.",,10.1145/3468264.3468561,https://doi.org/10.1145/3468264.3468561,,,"Android, ad fraud, mobile app, static analysis, user interface",Association for Computing Machinery,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Efficient Optimal Alignment Between Dynamic Condition Response Graphs and&nbsp;Traces,"Christfort, Axel Kjeld Fjelrad and Slaats, Tijs",,2023,ACM Digital Library,3–19,,"Dynamic Condition Response (DCR) Graphs is a popular declarative process modelling notation which is supported by commercial modelling tools and has seen significant industrial adoption. The problem of aligning traces with DCR Graphs, with it’s multitude of applications such as conformance checking and log repair, has surprisingly not been solved yet. In this paper we address this open gap in the research by developing an algorithm for efficiently computing the optimal alignment of a DCR Graph and a trace. We evaluate the algorithm on the PDC 2022 dataset, showing that even for large models and traces alignment problems can be solved within milliseconds, and present a case study based on test-driven modelling.",,10.1007/978-3-031-41620-0_1,https://doi.org/10.1007/978-3-031-41620-0_1,,,"Trace alignment, DCR graphs, Conformance checking, Declarative process models, Test-driven Modelling",Springer-Verlag,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Assessing architectural drift in commercial software development: a case study,"Rosik, Jacek and Le Gear, Andrew and Buckley, Jim and Babar, Muhammad Ali and Connolly, Dave",Softw. Pract. Exper.,2011,ACM Digital Library,63–86,41,"Objectives: Software architecture is perceived as one of the most important artefacts created during a system's design. However, implementations often diverge from their intended architectures: a phenomenon called architectural drift. The objective of this research is to assess the occurrence of architectural drift in the context of de novo software development, to characterize it, and to evaluate whether its detection leads to inconsistency removal. Method: An in vivo, longitudinal case study was performed during the development of a commercial software system, where an approach based on Reflexion Modelling was employed to detect architectural drift. Observation and think-aloud data, captured during the system's development, were assessed for the presence and types of architectural drift. When divergences were identified, the data were further analysed to see if identification led to the removal of these divergences. Results: The analysed system diverged from the intended architecture, during the initial implementation of the system. Surprisingly however, this work showed that Reflexion Modelling served to conceal some of the inconsistencies, a finding that directly contradicts the high regard that this technique enjoys as an architectural evaluation tool. Finally, the analysis illustrated that detection of inconsistencies was insufficient to prompt their removal, in the small, informal team context studied. Conclusions: Although the utility of the approach for detecting inconsistencies was demonstrated in most cases, it also served to hide several inconsistencies and did not act as a trigger for their removal. Hence additional efforts must be taken to lessen architectural drift and several improvements in this regard are suggested. Copyright © 2010 John Wiley &amp; Sons, Ltd.",,10.1002/spe.999,https://doi.org/10.1002/spe.999,,,"architecture consistency, architecture degeneration, reflection models, software/program verification","John Wiley &amp; Sons, Inc.",0038-0644,,,UNCLASSIFIED,,
An industrial case study of architecture conformance,"Rosik, Jacek and Le Gear, Andrew and Buckley, Jim and Ali Babar, Muhammad",,2008,ACM Digital Library,80–89,,"A software designer often has little control over, or means of checking, whether his design is being adhered to, once the implementation begins. This 'architectural drift', where the original design of the system and the as-implemented design of the system diverge, can cause serious problems for evolution, maintenance and the comprehensibility of a system if it remains undocumented or uncorrected. The earlier such discrepancies can be identified, the better.This paper reports on a case study designed to evaluate a proposed approach for monitoring architectural drift during software development. The proposed approach differs significantly from existing design conformance approaches in that it has been designed for application within a forward engineering context. The findings show the utility of the approach in identifying architectural drift but also illustrate a number of improvements that could be made to the technique to further promote architecture conformance.",,10.1145/1414004.1414019,https://doi.org/10.1145/1414004.1414019,,,"architectural drift, architecture conformance, industrial experience, reflexion modelling",Association for Computing Machinery,,,,UNCLASSIFIED,,
Detecting deviations in the code using architecture view-based drift analysis,"Uzun, Burak and Tekinerdogan, Bedir",Comput. Stand. Interfaces,2024,ACM Digital Library,,87,,,10.1016/j.csi.2023.103774,https://doi.org/10.1016/j.csi.2023.103774,,,"Software architecture reconstruction, Model-driven development, Architecture drift analysis, Architecture drift",Elsevier Science Publishers B. V.,0920-5489,,,UNCLASSIFIED,,
Conformance checking and performance improvement in scheduled processes,"Senderovich, Arik and Weidlich, Matthias and Yedidsion, Liron and Gal, Avigdor and Mandelbaum, Avishai and Kadish, Sarah and Bunnell, Craig A.",Inf. Syst.,2016,ACM Digital Library,185–206,62,"Service processes, for example in transportation, telecommunications or the health sector, are the backbone of today's economies. Conceptual models of service processes enable operational analysis that supports, e.g., resource provisioning or delay prediction. In the presence of event logs containing recorded traces of process execution, such operational models can be mined automatically.In this work, we target the analysis of resource-driven, scheduled processes based on event logs. We focus on processes for which there exists a pre-defined assignment of activity instances to resources that execute activities. Specifically, we approach the questions of conformance checking (how to assess the conformance of the schedule and the actual process execution) and performance improvement (how to improve the operational process performance). The first question is addressed based on a queueing network for both the schedule and the actual process execution. Based on these models, we detect operational deviations and then apply statistical inference and similarity measures to validate the scheduling assumptions, thereby identifying root-causes for these deviations. These results are the starting point for our technique to improve the operational performance. It suggests adaptations of the scheduling policy of the service process to decrease the tardiness (non-punctuality) and lower the flow time. We demonstrate the value of our approach based on a real-world dataset comprising clinical pathways of an outpatient clinic that have been recorded by a real-time location system (RTLS). Our results indicate that the presented technique enables localization of operational bottlenecks along with their root-causes, while our improvement technique yields a decrease in median tardiness and flow time by more than 20%. HighlightsWe provide a broad extension to the notions of conceptual, operational and continuous conformance checking techniques.We present novel theoretical results in terms of scheduling algorithms for Fork/Join networks that re-sequence arriving cases. We prove that these scheduling algorithms are guaranteed to never perform worse than the baseline approach.We test the new techniques for process improvement on real-world data, and show that the proposed algorithms yield a 20%-40% improvement in median flow time and tardiness.",,10.1016/j.is.2016.01.002,https://doi.org/10.1016/j.is.2016.01.002,,,"Conformance checking, Process improvement, Process mining, Queueing networks, Scheduled processes, Scheduling, Statistical inference",Elsevier Science Ltd.,0306-4379,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Complementing model-driven development for the detection of software architecture erosion,"Herold, Sebastian and Rausch, Andreas",,2013,ACM Digital Library,24–30,,"Detecting software architecture erosion is an important task during the development and maintenance of software systems. Even in model-driven approaches in which consistency between artifacts can partially be established by construction and consistency issues have been intensively investigated, the intended architecture and its realization may diverge with negative effects on software quality.In this article, we describe an approach to flexible architecture erosion detection for model-driven development approaches. Consistency constraints expressed by architectural aspects called architectural rules are specified as formulas on a common ontology, and models are mapped to instances of that ontology. A knowledge representation and reasoning system is then utilized to check whether these architectural rules are satisfied for a given set of models.We describe three case studies in which this approach has been used to detect architecture erosion flexibly and argue that the negative effects of architecture erosion can be minimized effectively.",,,,,,"architecture conformance checking, inter-model consistency, software architecture, software architecture erosion",IEEE Press,,,,UNCLASSIFIED,,
Global conformance checking measures using shallow representation and deep learning,"Peeperkorn, Jari and vanden Broucke, Seppe and De Weerdt, Jochen",Eng. Appl. Artif. Intell.,2023,ACM Digital Library,,123,"Conformance checking refers to techniques that can compare normative process behavior, typically captured by process models, and observed process behavior, usually captured in an event log. Recently, machine and deep learning methods have been proposed to tackle multiple problems in process mining, mostly for predictive process monitoring purposes. In this work, we propose two different neural network-based conformance checking techniques, allowing for a fully data-driven approach. Concretely, two approaches for measuring fitness and precision are introduced, using techniques from representation learning and deep learning respectively. The first approach relies on computing the distances between process traces coming from both an event log and a process model by means of vector representations extracted from a shallow neural network trained in a self-supervised setting. The second approach uses a recurrent neural network trained on an event log and a log containing artificially created counterfactuals. The first setup of these methods is tested on a proof-of-concept artificial event log, a plethora of artificially generated process models, and 4 real-life data sets. Our approaches exhibit generally promising and interesting results and in this way provide fully data-driven alternatives to other conformance checking techniques, which are usually model-driven. Moreover, they allow for a possible combination of different purposes, when already using neural networks for process discovery or predictive process monitoring.",,10.1016/j.engappai.2023.106393,https://doi.org/10.1016/j.engappai.2023.106393,,,"Process mining, Conformance checking, Recurrent neural networks, LSTM, Representation learning, Word2vec","Pergamon Press, Inc.",0952-1976,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Model-Driven Software Architecture Conformance Analysis,"Uzun, Burak and M., Ak\c{s}it, and M., Chaudron, and H., Vangheluwe, and J, Pennings,",,2021,ACM Digital Library,,,"Every software system has an architecture that defines the gross-level structure of the system and consists of architectural components, relations and their interactions. A common practice to model software architectures is based on the notion of so-called architecture viewpoints, which define the templates and guidelines for the architecture from the perspective of one or more stakeholder concerns. Based on architecture viewpoints, architecture views can be derived for a particular system. Usually, the architecture of a system consists of multiple architecture views. Since software systems constantly evolve, the software code can start to diverge from the documented software architecture. Architecture conformance analysis methods have been proposed that compare and check the differences between the code and the software architecture. Elements in the code might conform to the elements in the architecture, elements might be absent, or the code might diverge from the architecture and introduce new elements. Conformance analysis is performed on two levels which are code and architecture levels. Codelevel conformance analysis employs intended architecture to generate runnable specifications that are executed on the code to reveal divergence or absence relations. Architecture level conformance analysis employs reconstructed architecture from implementation and compares intended architecture with reconstructed architecture. Manually checking for divergence and absence relations in large-scale software systems is time-consuming and cumbersome; hence, most conformance analysis methods in the industry are either semi-automated or fully automated. Software testing can be used to detect the divergence and absence relations. Automation in software testing can be achieved by model-based testing techniques. Modelbased testing is a software testing technique in which certain aspects of software system behaviours are defined in a model that is a basis for abstract tests. Concrete tests are derived from these abstract tests and executed against the software system under test.The main objective in this thesis is to define model-driven conformance analysis methodologies to detect the absence and divergence relations of software systems. To this end we answered the following research questions:RQ1:What are current solutions for model-driven architecture-based testing?RQ2:What are the limitations and benefits of code level model-based architecture conformance analysis using architecture viewpoints?RQ3:What are the characteristic features of architecture reconstruction methods?RQ4:What are the limitations and benefits of architecture level model-based architecture conformance analysis using architecture viewpoints?To answer these research questions, we used five different research methodologies which are: Systematic Literature Review, Case Study Research, Survey Study, Domain Analysis, Design Science Research.In chapter 2, we applied a systematic literature review for model-driven architecture based testing. We defined three research questions which are related to identifying addressed concerns, proposed solutions and existing research directions. We thoroughly analyzed 31 primary studies out of 739 studies. Firstly, we identified two concerns for applying MDABT which are: code to architecture conformance checking and internal architecture consistency checking. Furthermore, we derived a generic process model for model-driven architecture- based testing. Lastly, we identified current obstacles and existing research directions based on selected primary studies. We identified seven obstacles for MDABT which are: the need for executable models for representing architecture, coping with the abstraction difference between architecture and code, the combinatorial state explosion problem, the lack of architecture views to consider multiple different concerns, the need for automating the process by tools, the costbenefit analysis, and the need for applying ",,,,,,,Wageningen University and Research,,,AAI28820543,UNCLASSIFIED,,
Experimental Conformance Evaluation onUBER ATG Safety Case Framework withANSI/UL 4600,"Taguchi, Kenji and Ishikawa, Fuyuki",,2021,ACM Digital Library,272–283,,"The safety of Self-Driving Vehicles (SDVs) is crucial for social acceptance of self-driving technology/vehicles, and how to assure such safety is of great concern for automakers and regulatory and standardization bodies. ANSI/UL 4600 (4600) [3], a standard for the safety of autonomous products, has an impact on the regulatory regime of self-driving technology/vehicles due to its detailed and well defined assurance requirements on what will be required for the safety of autonomous products. One of the major characteristics of the standard is wide-scale adoption of the safety case, which has been traditionally used for safety assurance of safety-critical systems such as railways and automobiles.Uber ATG (now Aurora) then released its own safety case called the Safety Case Framework (SCF) [1] for their SDVs. A question arises as to how much the SCF would conform to 4600 even though the SFC does not claim its conformance with the standard. An answer to this question would result in what type of argumentation would be fit for purpose for safety assurance for SDVs and address issues with conformance assessment of a safety case with a standard.In this paper we report on lessons we learned from an experimental analysis on the conformance ratios of the SCF with 4600 and structural analysis following the argument structure of the SCF.",,10.1007/978-3-030-83906-2_22,https://doi.org/10.1007/978-3-030-83906-2_22,,,"Safety, Self-driving vehicles, Safety case, Uber ATS’s safety case framework, ANSI/UL 4600, Regulatory compliance",Springer-Verlag,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Software Architecture Recovery with Information Fusion,"Zhang, Yiran and Xu, Zhengzi and Liu, Chengwei and Chen, Hongxu and Sun, Jianwen and Qiu, Dong and Liu, Yang",,2023,ACM Digital Library,1535–1547,,"Understanding the architecture is vital for effectively maintaining and managing large software systems. However, as software systems evolve over time, their architectures inevitably change. To keep up with the change, architects need to track the implementation-level changes and update the architectural documentation accordingly, which is time-consuming and error-prone. Therefore, many automatic architecture recovery techniques have been proposed to ease this process. Despite efforts have been made to improve the accuracy of architecture recovery, existing solutions still suffer from two limitations. First, most of them only use one or two type of information for the recovery, ignoring the potential usefulness of other sources. Second, they tend to use the information in a coarse-grained manner, overlooking important details within it. To address these limitations, we propose SARIF, a fully automated architecture recovery technique, which incorporates three types of comprehensive information, including dependencies, code text and folder structure. SARIF can recover architecture more accurately by thoroughly analyzing the details of each type of information and adaptively fusing them based on their relevance and quality. To evaluate SARIF, we collected six projects with published ground-truth architectures and three open-source projects labeled by our industrial collaborators. We compared SARIF with nine state-of-the-art techniques using three commonly-used architecture similarity metrics and two new metrics. The experimental results show that SARIF is 36.1% more accurate than the best of the previous techniques on average. By providing comprehensive architecture, SARIF can help users understand systems effectively and reduce the manual effort of obtaining ground-truth architectures.",,10.1145/3611643.3616285,https://doi.org/10.1145/3611643.3616285,,,"architecture comparison, reverse engineering, software architecture recovery, software module clustering",Association for Computing Machinery,,,,REJECTED,EC2,The study discusses software architecture in general without addressing conformance or compliance.
A Data-Driven Framework to Test Validity of the Discovered Clinical Process Based on Selected Patient Outcomes,"Chen, Qifan and Lu, Yang and Tam, Charmaine S. and Poon, Simon K.",,2023,ACM Digital Library,248–251,,"A clinical process contains a treatment pathway for a well-defined patient group that aims to improve patient outcomes. Electronic Health Records (EHRs) have become popular with the rapid development of healthcare information systems. Process mining utilises event logs extracted from EHRs and aims to discover systematic clinical processes automatically. Hence, the validity of the discovered clinical process becomes a critical issue for stakeholders. Existing methods mainly focus on evaluating the performance of the discovery algorithms (the conformance between the discovered process and the event log) while ignoring the validity of the discovered clinical process. Therefore, we propose a data-driven framework that can test the validity of the process by correlating selected patient outcomes with the discovered clinical process. A valid and effective clinical process should positively impact patient outcomes and can potentially assist in developing evidence-based guidelines for future treatments. The data-driven framework adopts the triangulation method combined with the statistical test model consisting of propensity score matching and difference-in-difference regression to overcome the limitations of existing methods. A use case scenario is presented to discover the clinical process for patients with suspected acute coronary syndrome.",,10.1145/3579375.3579414,https://doi.org/10.1145/3579375.3579414,,,"Healthcare process, Process mining, Process validation",Association for Computing Machinery,,,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
A Framework for Secure Service Composition,"Brucker, Achim D. and Malmignati, Francesco and Merabti, Madjid and Shi, Qi and Zhou, Bo",,2013,IEEE Digital Library,647-652,,"Modern applications are inherently heterogeneous: they are built by composing loosely coupled services that are, usually, offered and operated by different service providers. While this approach increases the flexibility of the composed applications, it makes the implementation of security and trustworthiness requirements difficult. As the number of security requirements is increasing dramatically, there is a need for new approaches that integrate security requirements right from the beginning while composing service-based applications. In this paper, we present a framework for secure service composition using a model-based approach for specifying, building, and executing composed services. As a unique feature, this framework integrates security requirements as a first class citizen and, thus, avoids the ``security as an afterthought'' paradigm.",,10.1109/SocialCom.2013.97,,,,Security;Availability;Business;Runtime;Service-oriented architecture;Biological system modeling;secure service composition;BPMN;service modelling;service availability,,,,,REJECTED,EC2,The study discusses software architecture in general without addressing conformance or compliance.
Enabling smarter compliance architecture using social networks and cognitive agents,"Azua, M. and Goodman, B. D.",IBM Journal of Research and Development,2011,IEEE Digital Library,11:1-11:11,55,"The advent of cloud computing has made a significant impact on the usage and implementation of cognitive agents. The boundless resources of cloud computing offer cognitive agents a rich platform on which to help build smarter systems. Given the explosive growth of content, cognitive agents are well positioned to make use of this massive amount of information that people struggle to consume and corporations need to manage in order to satisfy new security and compliance regulations. Data collected from several IBM Cloud test platforms with more than 6,000 users and from social software statistics involving 350,000 IBM employees confirm the power of user context and social networking to enable a new generation of cognitive agents. This “position paper” reviews several aspects of the confluence of cloud computing, social software, and cognitive agents.",,10.1147/JRD.2011.2165680,,,,Cloud computing;Investments;Cognitive informatics;Computational modeling;Information services;Electronic publishing;User interfaces,,0018-8646,,,UNCLASSIFIED,,
Design for configurability: rethinking interdomain routing policies from the ground up,"Wang, Yi and Avramopoulos, Ioannis and Rexford, Jennifer",IEEE Journal on Selected Areas in Communications,2009,IEEE Digital Library,336-348,27,"Giving ISPs more fine-grain control over interdomain routing policies would help them better manage their networks and offer value-added services to their customers. Unfortunately, the current BGP route-selection process imposes inherent restrictions on the policies an ISP can configure, making many useful policies infeasible. In this paper, we present Morpheus, a routing control platform that is designed for configurability. Morpheus enables a single ISP to safely realize a much broader range of routing policies without requiring changes to the underlying routers or the BGP protocol itself. Morpheus allows network operators to: (1) make flexible trade-offs between policy objectives through a weighted-sum based decision process, (2) realize customer-specific policies by supporting multiple route-selection processes in parallel, and allowing customers to influence the decision processes, and (3) configure the decision processes through a simple and intuitive configuration interface based on the Analytic Hierarchy Process, a decision-theoretic technique for balancing conflicting objectives. We also present the design, implementation, and evaluation of Morpheus as an extension to the XORP software router.",,10.1109/JSAC.2009.090409,,,,"Routing protocols;IP networks;Performance analysis;Scalability;Protection;Internet;Computer science;Laboratories;Computer architecture;Service oriented architecture;BGP, interdomain routing, policy, configuration, analytic hierarchy process (AHP)",,1558-0008,,,REJECTED,EC2,The study discusses software architecture in general without addressing conformance or compliance.
SLA-Driven Clustering of QoS-Aware Application Servers,"Lodi, Giorgia and Panzieri, Fabio and Rossi, Davide and Turrini, Elisa",IEEE Transactions on Software Engineering,2007,IEEE Digital Library,186-197,33,"In this paper, we discuss the design, implementation, and experimental evaluation of a middleware architecture for enabling service level agreement (SLA)-driven clustering of QoS-aware application servers. Our middleware architecture supports application server technologies with dynamic resource management: application servers can dynamically change the amount of clustered resources assigned to hosted applications on-demand so as to meet application-level quality of service (QoS) requirements. These requirements can include timeliness, availability, and high throughput and are specified in SLAs. A prototype of our architecture has been implemented using the open-source J2EE application server JBoss. The evaluation of this prototype shows that our approach makes possible JBoss' resource usage optimization and allows JBoss to effectively meet the QoS requirements of the applications it hosts, i.e., to honor the SLAs of those applications",,10.1109/TSE.2007.28,,,,Quality of service;Load management;Middleware;Resource management;Availability;Monitoring;Runtime;Application software;Prototypes;Scalability;Service Level Agreement;Quality of Service;QoS-aware application server;QoS-aware cluster;dynamic cluster configuration;monitoring;load balancing.,,1939-3520,,,REJECTED,EC2,The study discusses software architecture in general without addressing conformance or compliance.
PROS: A Plug-in for Routability Optimization applied in theState-of-the-art commercial EDA tool using deep learning,"Chen, Jingsong and Kuang, Jian and Zhao, Guowei and Huang, Dennis J-Hand Young, Evangeline F. Y.",,2020,ISI Web of Science,,,"Recently the topic of routability optimization with prior knowledge
obtained by machine learning techniques has been widely studied.
However, limited by the prediction accuracy, the predictors of the
existing related works can hardly be applied in a real-world EDA tool
without extra runtime overhead for feature preparation. In this paper,
we revisit this topic and propose a practical plug-in for routability
optimization named PROS which can be applied in the state-of-the-art
commercial EDA tool with negligible runtime overhead. PROS consists of
an effective fully convolutional network (FCN) based predictor that only
utilizes the data from placement result to forecast global routing (GR)
congestion and a parameter optimizer that can reasonably adjust GR cost
parameters based on prediction result to generate a better GR solution
for detailed routing. Experiments on 19 industrial designs in advanced
technology node show that PROS can achieve high accuracy of GR
congestion prediction and significantly reduce design rule checking
(DRC) violations by 11.65\% on average.",Proceedings Paper,10.1145/3400302.3415662,,"Chen, JS (Corresponding Author), Chinese Univ Hong Kong, Hong Kong, Peoples R China.Chen, Jingsong; Young, Evangeline F. Y., Chinese Univ Hong Kong, Hong Kong, Peoples R China.Kuang, Jian; Zhao, Guowei; Huang, Dennis J-H, Cadence Design Syst, San Jose, CA USA.",,,IEEE,1933-7760,English,"39th IEEE/ACM International Conference On Computer Aided Design (ICCAD),ELECTR NETWORK, NOV 02-05, 2020",REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
A Standard Deviation Incorporated Attention Module Enhanced U-Net forRoutability Prediction,"Chen, Yinjie and Zhang, Di and Chen, Hua",,2024,ISI Web of Science,671-674,,"With the remarkable increase in the complexity of Very Large-Scale
Integration (VLSI) designs, the integration of artificial intelligence
(AI) into electronic design automation (EDA) has become indispensable,
particularly in the realm of back-end design tasks like Routing
Congestion (RC) prediction and Design Rule Checking (DRC) hotspot map
prediction. In this paper, we introduce an innovative variant of the
U-Net model, enhanced by an attention module, to accurately predict
routability. The attention module incorporates standard deviation
operation to extract more comprehensive distribution information from
the features, enabling mitigate the adverse effects of data imbalance.
Our proposed model outperforms existing models, particularly with rate
reductions of 1.5\% (RC) and 4.6\% (DRC) in Avg-NRMSE when compared to
the prior model ibUnet, as evidenced by experimental results on the
CircuitNet dataset. Furthermore, it outperforms the ibUnet on model size
which exhibits a significant improvement of over 50\% rate reduction.",Proceedings Paper,10.1109/ICETIS61828.2024.10593700,,"Chen, H (Corresponding Author), Zhejiang Univ, Sch Aeronaut \& Astronaut, Hangzhou, Peoples R China.Chen, Yinjie, Zhejiang Univ, Coll Informat Sci \& Elect Engn, Hangzhou, Peoples R China.Zhang, Di; Chen, Hua, Zhejiang Univ, Sch Aeronaut \& Astronaut, Hangzhou, Peoples R China.",,Very Large-Scale Integration (VLSI) designs; Routability Prediction;Artificial Intelligence; Electronic Design Automation (EDA); U-Net,IEEE,,English,"9th International Conference on Electronic Technology and InformationScience (ICETIS), Hangzhou, PEOPLES R CHINA, MAY 17-19, 2024",REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
MCFRoute 2.0: A Redundant Via Insertion Enhanced Concurrent DetailedRouter,"Jia, Xiaotao and Cai, Yici and Zhou, Qiang and Yu, Bei",,2016,ISI Web of Science,87-92,,"In modern VLSI design, manufacturing yield and chip performance are
seriously affected by via failure. Redundant via insertion is an
effective technique recommended by foundries to deal with the via
failure. However, due to the extreme scaling of feature size, it is more
and more difficult to resolve redundant via insertion (RVI) with limited
routing resource while obeying complicated design rules. In this paper,
we propose an RVI enhanced concurrent detailed router, MCFRoute 2.0,
which effectively avoids design rule violations through a compact
integer linear programming (ILP) model. The proposed router can not only
route all nets simultaneously but also search for redundant via
positions for all via simultaneously during routing stage. In addition,
it proposes an RVI aware pin access allocation to further improve the
routing performance. Experimental results show that our detailed router
outperforms an industry EDA tool that it improves the redundant via
insertion rate by 21\%, while reducing design rule checking violation
count, total wire length and via count by 47\%, 4\% and 14\%,
respectively.",Proceedings Paper,10.1145/2902961.2902966,,"Jia, XT (Corresponding Author), Tsinghua Univ, Dept Comp Sci Technol, Beijing, Peoples R China.Jia, XT (Corresponding Author), Chinese Univ Hong Kong, CSE Dept, Hong Kong, NT, Peoples R China.Jia, Xiaotao; Cai, Yici; Zhou, Qiang, Tsinghua Natl Lab, Informat Sci \& Technol, Beijing, Peoples R China.Jia, Xiaotao; Cai, Yici; Zhou, Qiang, Tsinghua Univ, Dept Comp Sci Technol, Beijing, Peoples R China.Jia, Xiaotao; Yu, Bei, Chinese Univ Hong Kong, CSE Dept, Hong Kong, NT, Peoples R China.",,Detailed Routing; ILP; Redundant Via Insertion; Design Rule,IEEE,,English,"26th ACM Great Lakes Symposium on VLSI (GLSVLSI), Boston Univ, Dept Elect \& Comp Engn, Boston, MA, MAY 18-20, 2016",REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
Feasibility Prediction for Rapid IC Design Space Exploration,"Islam, Riadul",ELECTRONICS,2022,ISI Web of Science,,11,"The DARPA POSH program echoes with the research community and identifies
that engineering productivity has fallen behind Moore's law, resulting
in the prohibitive increase in IC design cost at leading technology
nodes. The primary reason is that it requires many computing resources,
expensive tools, and even many days to complete a design implementation.
However, at the end of this process, some designs could not meet the
design constraints and become unroutable, creating a vicious circuit
design cycle. As a result, designers have to re-run the whole process
after design modification. This research applied a machine learning
approach to automatically identify design constraints and design rule
checking (DRC) violation issues and help the designer identify design
constraints with optimal DRCs before the long detailed routing process
through iterative greedy search. The proposed algorithm achieved up to
99.99\% design constraint prediction accuracy and reduced 98.4\% DRC
violations with only a 6.9\% area penalty.",Article,10.3390/electronics11071161,,"Islam, R (Corresponding Author), Univ Maryland Baltimore Cty, Dept Comp Sci \& Elect Engn, Baltimore, MD 21250 USA.Islam, Riadul, Univ Maryland Baltimore Cty, Dept Comp Sci \& Elect Engn, Baltimore, MD 21250 USA.",,design rule check; electronic design automation (EDA); decision tree; ICdesign; design constraints,MDPI,2079-9292,English,,REJECTED,EC1,The study does not address Architectural Conformance Checking as a central topic.
